timestamp,market_id,question,side,category,entry_price,our_estimate,edge,confidence,cost,shares,status,won,profit,exit_reason
2026-04-25T10:31:04.995322+00:00,2047410,"US x Iran diplomatic meeting by April 27, 2026?",NO,crypto,0.44,0.1305,0.4445,0.55,42.87,97.4318,resolved,True,33.61,edge eroded (8.4% vs 44.5% at entry)
2026-04-25T14:45:23.125198+00:00,1959320,"US x Iran diplomatic meeting by April 30, 2026?",NO,crypto,0.545,0.2591,0.2109,0.95,47.17,86.5505,resolved,True,25.1,edge eroded (-9.4% vs 21.1% at entry)
2026-04-25T16:52:49.423460+00:00,2015225,Indian Premier League: Rajasthan Royals vs Sunrisers Hyderabad,NO,sports,0.555,0.3407,0.1193,0.85,39.06,70.3784,resolved,True,31.28,edge eroded (-34.0% vs 11.9% at entry)
2026-04-25T16:52:49.480090+00:00,1959320,"US x Iran diplomatic meeting by April 30, 2026?",NO,crypto,0.82,0.0641,0.1309,0.95,64.66,78.8537,resolved,True,7.49,edge eroded (2.1% vs 13.1% at entry)
2026-04-25T16:52:49.515319+00:00,2077210,Dota 2: Team Liquid vs Team Falcons - Game 1 Winner,NO,sports,0.72,0.2146,0.0804,0.85,30.89,42.9028,resolved,True,11.99,edge eroded (-21.4% vs 8.0% at entry)
2026-04-25T18:58:44.597222+00:00,2077208,Dota 2: Team Liquid vs Team Falcons (BO3) - PGL Wallachia Playoffs,YES,sports,0.515,0.6684,0.1534,0.95,49.9,96.8932,resolved,False,-49.85,stop-loss triggered (unrealized: $-49.85)
2026-04-25T18:58:44.895275+00:00,1954638,Will Club Atlético de Madrid win on 2026-04-25?,YES,sports,0.495,0.5817,0.0867,0.85,20.05,40.5051,resolved,True,16.61,edge eroded (-32.3% vs 8.7% at entry)
2026-04-25T21:03:50.152602+00:00,2022769,Seattle Mariners vs. St. Louis Cardinals,YES,sports,0.435,0.5272,0.0922,0.7,18.02,41.4253,resolved,True,23.38,edge eroded (-47.2% vs 9.2% at entry)
2026-04-25T21:03:50.456748+00:00,2006847,Hurricanes vs. Senators,NO,sports,0.495,0.4589,0.0611,0.85,15.76,31.8384,resolved,False,-15.76,
2026-04-25T23:09:37.463286+00:00,2006852,Stars vs. Wild,NO,sports,0.505,0.3546,0.1554,0.95,47.62,94.297,resolved,True,46.63,edge eroded (-35.4% vs 15.5% at entry)
2026-04-25T23:09:37.986663+00:00,2022787,Athletics vs. Texas Rangers,NO,sports,0.525,0.4316,0.0584,0.85,15.44,29.4095,resolved,True,4.41,edge eroded (-10.7% vs 5.8% at entry)
2026-04-26T01:14:23.594176+00:00,2022797,Philadelphia Phillies vs. Atlanta Braves,YES,sports,0.54,0.7041,0.1641,0.85,52.28,96.8148,resolved,True,32.92,edge eroded (-17.6% vs 16.4% at entry)
2026-04-26T01:14:23.622107+00:00,2006857,Penguins vs. Flyers,YES,sports,0.635,0.9135,0.2785,0.7,17.67,27.8268,resolved,True,10.14,edge eroded (-8.6% vs 27.9% at entry)
2026-04-26T03:16:38.584336+00:00,2002497,"Israel x Hezbollah Ceasefire extended by April 26, 2026?",NO,crypto,0.795,0.1096,0.1104,0.85,69.95,87.9874,resolved,False,-69.73,stop-loss triggered (unrealized: $-69.73)
2026-04-26T22:38:28.961315+00:00,2033094,Los Angeles Angels vs. Kansas City Royals,NO,sports,0.2825,0.5609,0.1716,0.55,24.17,85.5575,resolved,False,-16.9,stop-loss triggered (unrealized: $-16.90)
2026-04-26T22:38:29.278513+00:00,2073290,Spread: Celtics (-7.5),NO,sports,0.525,0.4035,0.0865,0.95,30.74,58.5524,resolved,False,-22.25,stop-loss triggered (unrealized: $-22.25)
2026-04-26T22:38:29.310084+00:00,2006867,Avalanche vs. Kings,NO,sports,0.2,0.7584,0.0566,0.7,8.42,42.1,resolved,False,-8.4,stop-loss triggered (unrealized: $-8.40)
2026-04-27T00:43:52.144112+00:00,2006872,Lightning vs. Canadiens,NO,sports,0.665,0.054,0.296,0.55,64.66,97.2331,resolved,False,-64.66,
2026-04-27T02:49:52.333087+00:00,2088764,Lakers vs. Rockets: O/U 205.5,NO,sports,0.745,0.1143,0.1557,0.7,62.27,83.5839,resolved,False,-62.23,stop-loss triggered (unrealized: $-62.23)
2026-04-27T02:49:52.373705+00:00,2006877,Oilers vs. Ducks,YES,sports,0.815,0.9506,0.1356,0.85,2.39,2.9325,resolved,False,-2.38,stop-loss triggered (unrealized: $-2.38)
2026-04-27T04:54:42.317786+00:00,2006877,Oilers vs. Ducks,YES,sports,0.525,0.6396,0.1146,0.85,28.61,54.4952,resolved,False,-28.61,
2026-04-27T04:54:42.843609+00:00,1976957,Will Manchester United FC win on 2026-04-27?,NO,sports,0.495,0.4224,0.0976,0.7,17.91,36.1818,resolved,False,-17.91,
2026-04-27T09:05:59.403690+00:00,951182,Will the All India Trinamool Congress (AITC) win the most seats in the 2026 West Bengal Legislative Assembly election?,YES,politics,0.587,0.6911,0.1041,0.85,27.4,46.678,resolved,False,-24.9,stop-loss triggered (unrealized: $-24.90)
2026-04-27T11:10:16.627860+00:00,2080198,Madrid Open: Belinda Bencic vs Hailey Baptiste,YES,sports,0.455,0.7459,0.2909,0.7,19.35,42.5275,resolved,False,-19.33,stop-loss triggered (unrealized: $-19.33)
2026-04-27T13:14:36.834716+00:00,2080207,Madrid Open: Aryna Sabalenka vs Naomi Osaka,YES,sports,0.785,0.8867,0.1017,0.85,19.35,24.6497,resolved,True,5.29,edge eroded (-11.3% vs 10.2% at entry)
2026-04-27T15:19:24.704907+00:00,2078284,Madrid Open: Mirra Andreeva vs Anna Bondar,YES,sports,0.595,0.7491,0.1541,0.85,19.35,32.521,resolved,True,13.15,edge eroded (-25.0% vs 15.4% at entry)
2026-04-27T17:24:58.853170+00:00,1974986,Will Atalanta BC win on 2026-04-27?,NO,sports,0.755,0.1558,0.1042,0.85,19.35,25.6291,resolved,True,6.27,edge eroded (-15.5% vs 10.4% at entry)
2026-04-27T19:30:54.119622+00:00,1823776,"Will Bitcoin reach $80,000 in April?",NO,crypto,0.75,0.0839,0.1811,0.85,48.98,65.3067,resolved,True,16.33,
2026-04-27T19:30:54.425005+00:00,2082881,Spread: Nuggets (-11.5),NO,sports,0.505,0.4244,0.0856,0.85,16.2,32.0792,resolved,False,-16.2,
2026-05-03T13:22:43.234777+00:00,2027390,Will AC Milan win on 2026-05-03?,NO,sports,0.645,0.2429,0.1271,0.95,41.66,64.5891,resolved,True,22.9,edge eroded (-24.2% vs 12.7% at entry)
2026-05-04T11:40:46.963981+00:00,1962237,"US x Iran permanent peace deal by June 30, 2026?",NO,crypto,0.645,0.0422,0.3278,0.7,51.53,79.8915,open,,,
2026-05-04T11:40:46.984592+00:00,2133404,Iran closes its airspace by May 8?,NO,crypto,0.795,0.1053,0.1147,0.95,26.07,32.7925,resolved,True,6.72,
2026-05-04T11:40:46.994102+00:00,561229,Will JD Vance win the 2028 US Presidential Election?,NO,sports,0.7895,0.1478,0.0777,0.95,38.37,48.6004,open,,,
2026-05-04T13:46:00.127487+00:00,2144490,76ers vs. Knicks,NO,sports,0.705,0.2645,0.0455,0.95,14.63,20.7518,resolved,True,6.12,
2026-05-04T13:46:00.146435+00:00,2040064,Will Manchester City FC win on 2026-05-04?,NO,sports,0.345,0.6137,0.0563,0.7,4.01,11.6232,resolved,True,7.61,
2026-05-05T10:46:27.649808+00:00,2152537,Cavaliers vs. Pistons,YES,sports,0.415,0.5148,0.0998,0.55,9.69,23.3494,resolved,False,-9.69,
2026-05-05T10:46:27.962810+00:00,2138976,LoL: Dplus KIA vs Nongshim Red Force (BO3) - Esports World Cup Korea Qualifier Playoffs,YES,sports,0.885,0.9494,0.0644,0.7,8.95,10.113,resolved,True,1.16,edge eroded (-5.0% vs 6.4% at entry)
2026-05-05T12:55:38.477724+00:00,2155859,Internazionali BNL d'Italia: Anna Bondar vs Qinwen Zheng,YES,sports,0.71,0.7662,0.0562,0.85,8.95,12.6056,resolved,False,-8.94,stop-loss triggered (unrealized: $-8.94)
2026-05-05T15:03:48.843540+00:00,2073829,"Will Elon Musk post 160-179 tweets from April 28 to May 5, 2026?",NO,crypto,0.6045,0.2593,0.1512,0.85,8.95,14.8056,resolved,True,5.85,edge eroded (-25.9% vs 15.1% at entry)
2026-05-05T17:11:26.171070+00:00,2160103,"Internazionali BNL d'Italia, Qualification: Mayar Sherif vs Tamara Korpatsch",NO,sports,0.485,0.3624,0.1676,0.7,8.95,18.4536,resolved,True,9.49,edge eroded (-36.2% vs 16.8% at entry)
2026-05-05T19:20:40.134430+00:00,2054191,Spread: Arsenal FC (-1.5),NO,sports,0.655,0.2486,0.1114,0.85,8.95,13.6641,resolved,True,4.71,
2026-05-09T14:09:49.226975+00:00,2184805,Internazionali BNL d'Italia: Felix Auger-Aliassime vs Mariano Navone,NO,sports,0.465,0.3485,0.2015,0.85,41.22,88.6452,resolved,True,47.38,edge eroded (-34.8% vs 20.2% at entry)
2026-05-09T14:09:49.310948+00:00,2082126,Will FC Augsburg win on 2026-05-09?,NO,sports,0.555,0.3387,0.1213,0.95,30.67,55.2613,resolved,False,-30.64,stop-loss triggered (unrealized: $-30.64)
2026-05-09T14:09:49.340048+00:00,2080734,Will Udinese Calcio win on 2026-05-09?,NO,sports,0.775,0.143,0.097,0.95,35.22,45.4452,resolved,False,-35.2,stop-loss triggered (unrealized: $-35.20)
2026-05-09T16:20:29.227174+00:00,2184796,Internazionali BNL d'Italia: Aryna Sabalenka vs Sorana Cirstea,NO,sports,0.8385,0.0693,0.1072,0.85,49.66,59.2248,resolved,True,9.54,edge eroded (-6.9% vs 10.7% at entry)
2026-05-09T16:20:29.553300+00:00,2099029,"US x Iran permanent peace deal by May 15, 2026?",NO,crypto,0.8755,0.0208,0.1187,0.95,44.69,51.0451,open,,,
2026-05-09T16:20:29.587949+00:00,2149038,Indian Premier League: Rajasthan Royals vs Gujarat Titans,NO,sports,0.605,0.3564,0.0536,0.85,11.6,19.1736,resolved,True,7.56,edge eroded (-35.6% vs 5.4% at entry)
